Status, Date, Latitude, Longitude, Count
1, 3/13/2020, 42.242, -73.527, 1
1, 3/13/2020, 42.38, -73.384, 1
1, 3/13/2020, 42.426, -73.343, 1
1, 3/13/2020, 42.61, -73.281, 1
1, 3/13/2020, 42.41, -73.24, 1
1, 3/13/2020, 42.549, -73.219, 1
1, 3/13/2020, 42.441, -73.219, 1
1, 3/13/2020, 42.395, -73.178, 1
1, 3/13/2020, 42.38, -73.178, 1
1, 3/13/2020, 42.165, -73.137, 1
1, 3/13/2020, 42.932, -72.932, 1
1, 3/13/2020, 42.134, -72.604, 1
1, 3/13/2020, 42.119, -72.604, 2
1, 3/13/2020, 42.104, -72.604, 1
1, 3/13/2020, 42.441, -72.029, 1
1, 3/13/2020, 42.334, -71.947, 1
1, 3/13/2020, 42.318, -71.906, 1
1, 3/13/2020, 42.395, -71.886, 1
1, 3/13/2020, 42.196, -71.865, 1
1, 3/13/2020, 42.303, -71.804, 2
1, 3/13/2020, 42.472, -71.783, 1
1, 3/13/2020, 42.656, -71.64, 1
1, 3/13/2020, 42.549, -71.619, 2
1, 3/13/2020, 42.503, -71.619, 1
1, 3/13/2020, 42.625, -71.599, 1
1, 3/13/2020, 42.963, -71.558, 1
1, 3/13/2020, 42.963, -71.537, 2
1, 3/13/2020, 42.518, -71.537, 1
1, 3/13/2020, 42.426, -71.537, 1
1, 3/13/2020, 42.595, -71.517, 1
1, 3/13/2020, 42.288, -71.517, 1
1, 3/13/2020, 42.687, -71.496, 1
1, 3/13/2020, 42.579, -71.496, 1
1, 3/13/2020, 42.702, -71.455, 1
1, 3/13/2020, 42.61, -71.455, 1
1, 3/13/2020, 42.318, -71.455, 1
1, 3/13/2020, 42.625, -71.434, 1
1, 3/13/2020, 42.61, -71.434, 1
1, 3/13/2020, 42.579, -71.434, 1
1, 3/13/2020, 42.641, -71.414, 1
1, 3/13/2020, 42.595, -71.414, 1
1, 3/13/2020, 42.579, -71.414, 1
1, 3/13/2020, 42.549, -71.414, 1
1, 3/13/2020, 42.518, -71.414, 1
1, 3/13/2020, 42.702, -71.393, 1
1, 3/13/2020, 42.549, -71.393, 1
1, 3/13/2020, 42.61, -71.373, 1
1, 3/13/2020, 42.564, -71.373, 1
1, 3/13/2020, 42.549, -71.373, 1
1, 3/13/2020, 42.518, -71.373, 1
1, 3/13/2020, 42.395, -71.373, 1
1, 3/13/2020, 42.318, -71.373, 1
1, 3/13/2020, 42.196, -71.373, 1
1, 3/13/2020, 42.18, -71.373, 1
1, 3/13/2020, 42.088, -71.373, 1
1, 3/13/2020, 42.579, -71.352, 1
1, 3/13/2020, 42.564, -71.352, 4
1, 3/13/2020, 42.549, -71.352, 1
1, 3/13/2020, 42.134, -71.352, 1
1, 3/13/2020, 42.671, -71.332, 1
1, 3/13/2020, 42.61, -71.332, 1
1, 3/13/2020, 42.595, -71.332, 1
1, 3/13/2020, 42.579, -71.332, 1
1, 3/13/2020, 42.564, -71.332, 4
1, 3/13/2020, 42.549, -71.332, 1
1, 3/13/2020, 42.518, -71.332, 1
1, 3/13/2020, 42.119, -71.332, 1
1, 3/13/2020, 42.088, -71.332, 1
1, 3/13/2020, 42.61, -71.311, 1
1, 3/13/2020, 42.595, -71.311, 1
1, 3/13/2020, 42.579, -71.311, 2
1, 3/13/2020, 42.441, -71.311, 1
1, 3/13/2020, 42.364, -71.311, 1
1, 3/13/2020, 42.119, -71.311, 1
1, 3/13/2020, 42.088, -71.311, 2
1, 3/13/2020, 42.564, -71.291, 2
1, 3/13/2020, 42.549, -71.291, 1
1, 3/13/2020, 42.518, -71.291, 1
1, 3/13/2020, 42.119, -71.291, 5
1, 3/13/2020, 42.104, -71.291, 3
1, 3/13/2020, 42.088, -71.291, 1
1, 3/13/2020, 42.073, -71.291, 1
1, 3/13/2020, 42.027, -71.291, 1
1, 3/13/2020, 42.61, -71.27, 1
1, 3/13/2020, 42.487, -71.27, 1
1, 3/13/2020, 42.441, -71.27, 1
1, 3/13/2020, 42.134, -71.27, 1
1, 3/13/2020, 42.119, -71.27, 2
1, 3/13/2020, 42.073, -71.27, 1
1, 3/13/2020, 42.917, -71.25, 1
1, 3/13/2020, 42.702, -71.25, 2
1, 3/13/2020, 42.641, -71.25, 1
1, 3/13/2020, 42.61, -71.25, 1
1, 3/13/2020, 42.564, -71.25, 2
1, 3/13/2020, 42.549, -71.25, 1
1, 3/13/2020, 42.533, -71.25, 1
1, 3/13/2020, 42.457, -71.25, 1
1, 3/13/2020, 42.165, -71.25, 1
1, 3/13/2020, 42.134, -71.25, 1
1, 3/13/2020, 42.119, -71.25, 4
1, 3/13/2020, 41.751, -71.25, 1
1, 3/13/2020, 41.689, -71.25, 1
1, 3/13/2020, 42.717, -71.229, 3
1, 3/13/2020, 42.579, -71.229, 1
1, 3/13/2020, 42.549, -71.229, 1
1, 3/13/2020, 42.349, -71.229, 1
1, 3/13/2020, 42.134, -71.229, 1
1, 3/13/2020, 41.766, -71.229, 1
1, 3/13/2020, 42.595, -71.209, 1
1, 3/13/2020, 42.549, -71.209, 1
1, 3/13/2020, 42.533, -71.209, 1
1, 3/13/2020, 42.441, -71.209, 1
1, 3/13/2020, 42.15, -71.209, 1
1, 3/13/2020, 42.503, -71.188, 1
1, 3/13/2020, 42.257, -71.188, 1
1, 3/13/2020, 42.15, -71.188, 1
1, 3/13/2020, 42.104, -71.188, 1
1, 3/13/2020, 42.088, -71.188, 1
1, 3/13/2020, 42.073, -71.188, 1
1, 3/13/2020, 41.474, -71.188, 2
1, 3/13/2020, 42.779, -71.168, 1
1, 3/13/2020, 42.564, -71.168, 1
1, 3/13/2020, 42.426, -71.168, 2
1, 3/13/2020, 42.303, -71.168, 1
1, 3/13/2020, 42.15, -71.168, 1
1, 3/13/2020, 42.104, -71.168, 1
1, 3/13/2020, 42.395, -71.147, 1
1, 3/13/2020, 42.364, -71.147, 1
1, 3/13/2020, 42.334, -71.147, 1
1, 3/13/2020, 42.318, -71.147, 1
1, 3/13/2020, 42.395, -71.127, 1
1, 3/13/2020, 42.38, -71.127, 1
1, 3/13/2020, 42.364, -71.127, 3
1, 3/13/2020, 42.349, -71.127, 1
1, 3/13/2020, 41.781, -71.127, 1
1, 3/13/2020, 42.687, -71.106, 1
1, 3/13/2020, 42.579, -71.106, 1
1, 3/13/2020, 42.364, -71.106, 1
1, 3/13/2020, 42.349, -71.106, 1
1, 3/13/2020, 42.196, -71.106, 1
1, 3/13/2020, 42.426, -71.086, 1
1, 3/13/2020, 42.395, -71.086, 1
1, 3/13/2020, 42.38, -71.086, 4
1, 3/13/2020, 42.288, -71.086, 1
1, 3/13/2020, 42.426, -71.065, 1
1, 3/13/2020, 42.41, -71.065, 1
1, 3/13/2020, 42.364, -71.065, 1
1, 3/13/2020, 42.318, -71.065, 1
1, 3/13/2020, 42.364, -71.045, 1
1, 3/13/2020, 41.843, -71.045, 1
1, 3/13/2020, 42.457, -71.024, 1
1, 3/13/2020, 42.349, -71.024, 1
1, 3/13/2020, 41.873, -71.004, 1
1, 3/13/2020, 42.717, -70.983, 2
1, 3/13/2020, 42.687, -70.983, 1
1, 3/13/2020, 41.904, -70.963, 1
1, 3/13/2020, 42.487, -70.942, 4
1, 3/13/2020, 41.889, -70.942, 1
1, 3/13/2020, 41.873, -70.942, 1
1, 3/13/2020, 42.518, -70.901, 1
1, 3/13/2020, 41.965, -70.798, 1
1, 3/13/2020, 41.919, -70.778, 1
1, 3/13/2020, 41.72, -70.142, 1
1, 3/14/2020, 42.38, -73.384, 2
1, 3/14/2020, 42.364, -73.384, 1
1, 3/14/2020, 42.61, -73.301, 1
1, 3/14/2020, 42.549, -73.219, 1
1, 3/14/2020, 42.134, -72.604, 1
1, 3/14/2020, 42.119, -72.604, 2
1, 3/14/2020, 42.104, -72.604, 1
1, 3/14/2020, 42.334, -71.947, 1
1, 3/14/2020, 42.318, -71.927, 2
1, 3/14/2020, 42.303, -71.927, 1
1, 3/14/2020, 42.318, -71.906, 1
1, 3/14/2020, 42.395, -71.886, 1
1, 3/14/2020, 42.303, -71.845, 1
1, 3/14/2020, 42.334, -71.824, 1
1, 3/14/2020, 42.303, -71.804, 4
1, 3/14/2020, 42.472, -71.783, 1
1, 3/14/2020, 42.595, -71.64, 1
1, 3/14/2020, 42.625, -71.599, 1
1, 3/14/2020, 42.625, -71.578, 1
1, 3/14/2020, 42.963, -71.558, 1
1, 3/14/2020, 42.963, -71.537, 2
1, 3/14/2020, 42.687, -71.537, 1
1, 3/14/2020, 42.518, -71.537, 1
1, 3/14/2020, 42.595, -71.517, 1
1, 3/14/2020, 42.503, -71.517, 1
1, 3/14/2020, 42.318, -71.517, 1
1, 3/14/2020, 42.671, -71.496, 1
1, 3/14/2020, 41.628, -71.475, 1
1, 3/14/2020, 42.61, -71.455, 1
1, 3/14/2020, 42.625, -71.434, 1
1, 3/14/2020, 42.61, -71.434, 1
1, 3/14/2020, 42.579, -71.434, 2
1, 3/14/2020, 42.549, -71.434, 1
1, 3/14/2020, 42.564, -71.414, 1
1, 3/14/2020, 42.549, -71.414, 2
1, 3/14/2020, 42.472, -71.414, 1
1, 3/14/2020, 42.364, -71.414, 2
1, 3/14/2020, 42.15, -71.414, 1
1, 3/14/2020, 42.472, -71.393, 1
1, 3/14/2020, 42.457, -71.393, 1
1, 3/14/2020, 42.441, -71.373, 1
1, 3/14/2020, 42.318, -71.373, 1
1, 3/14/2020, 42.303, -71.373, 1
1, 3/14/2020, 42.196, -71.373, 2
1, 3/14/2020, 42.18, -71.373, 1
1, 3/14/2020, 42.595, -71.352, 1
1, 3/14/2020, 42.579, -71.352, 2
1, 3/14/2020, 42.564, -71.352, 3
1, 3/14/2020, 42.549, -71.352, 4
1, 3/14/2020, 42.564, -71.332, 1
1, 3/14/2020, 42.549, -71.332, 1
1, 3/14/2020, 42.518, -71.332, 1
1, 3/14/2020, 42.104, -71.332, 1
1, 3/14/2020, 42.595, -71.311, 2
1, 3/14/2020, 42.579, -71.311, 3
1, 3/14/2020, 42.364, -71.291, 1
1, 3/14/2020, 42.119, -71.291, 1
1, 3/14/2020, 42.104, -71.291, 3
1, 3/14/2020, 42.088, -71.291, 1
1, 3/14/2020, 42.073, -71.291, 1
1, 3/14/2020, 42.641, -71.27, 1
1, 3/14/2020, 42.61, -71.27, 1
1, 3/14/2020, 42.503, -71.27, 1
1, 3/14/2020, 42.487, -71.27, 1
1, 3/14/2020, 42.134, -71.27, 1
1, 3/14/2020, 42.073, -71.27, 2
1, 3/14/2020, 42.641, -71.25, 2
1, 3/14/2020, 42.61, -71.25, 1
1, 3/14/2020, 42.119, -71.25, 4
1, 3/14/2020, 41.751, -71.25, 1
1, 3/14/2020, 41.689, -71.25, 1
1, 3/14/2020, 42.717, -71.229, 5
1, 3/14/2020, 42.625, -71.229, 1
1, 3/14/2020, 42.579, -71.229, 1
1, 3/14/2020, 41.766, -71.229, 1
1, 3/14/2020, 41.751, -71.229, 2
1, 3/14/2020, 42.549, -71.209, 1
1, 3/14/2020, 42.441, -71.209, 1
1, 3/14/2020, 42.426, -71.209, 1
1, 3/14/2020, 42.15, -71.209, 1
1, 3/14/2020, 42.15, -71.188, 1
1, 3/14/2020, 42.104, -71.188, 1
1, 3/14/2020, 42.088, -71.188, 1
1, 3/14/2020, 41.474, -71.188, 2
1, 3/14/2020, 42.15, -71.168, 2
1, 3/14/2020, 41.613, -71.168, 1
1, 3/14/2020, 42.61, -71.147, 1
1, 3/14/2020, 42.41, -71.147, 2
1, 3/14/2020, 42.196, -71.147, 1
1, 3/14/2020, 42.625, -71.127, 1
1, 3/14/2020, 42.503, -71.127, 1
1, 3/14/2020, 42.395, -71.127, 1
1, 3/14/2020, 41.781, -71.127, 1
1, 3/14/2020, 41.613, -71.127, 1
1, 3/14/2020, 42.641, -71.106, 1
1, 3/14/2020, 42.426, -71.106, 1
1, 3/14/2020, 42.395, -71.106, 1
1, 3/14/2020, 42.364, -71.106, 1
1, 3/14/2020, 42.349, -71.106, 1
1, 3/14/2020, 42.395, -71.086, 1
1, 3/14/2020, 42.38, -71.086, 1
1, 3/14/2020, 41.674, -71.086, 1
1, 3/14/2020, 42.426, -71.065, 1
1, 3/14/2020, 42.41, -71.065, 1
1, 3/14/2020, 42.364, -71.065, 1
1, 3/14/2020, 42.687, -71.045, 1
1, 3/14/2020, 42.364, -71.045, 1
1, 3/14/2020, 41.843, -71.045, 1
1, 3/14/2020, 42.441, -71.024, 1
1, 3/14/2020, 41.843, -71.024, 3
1, 3/14/2020, 42.671, -71.004, 1
1, 3/14/2020, 41.873, -71.004, 1
1, 3/14/2020, 42.717, -70.983, 4
1, 3/14/2020, 42.702, -70.983, 1
1, 3/14/2020, 42.671, -70.983, 1
1, 3/14/2020, 42.656, -70.963, 1
1, 3/14/2020, 42.487, -70.963, 1
1, 3/14/2020, 41.904, -70.963, 2
1, 3/14/2020, 42.503, -70.942, 1
1, 3/14/2020, 42.487, -70.942, 4
1, 3/14/2020, 41.889, -70.942, 1
1, 3/14/2020, 41.873, -70.942, 1
1, 3/14/2020, 42.671, -70.819, 1
1, 3/14/2020, 42.625, -70.798, 1
1, 3/14/2020, 41.981, -70.798, 1
1, 3/14/2020, 41.965, -70.798, 1
1, 3/14/2020, 41.919, -70.778, 1
1, 3/14/2020, 41.95, -70.696, 2
1, 3/14/2020, 41.72, -70.142, 2
2, 3/14/2020, 42.242, -73.527, 1
2, 3/14/2020, 42.426, -73.343, 1
2, 3/14/2020, 42.61, -73.281, 1
2, 3/14/2020, 42.41, -73.24, 1
2, 3/14/2020, 42.441, -73.219, 1
2, 3/14/2020, 42.395, -73.178, 1
2, 3/14/2020, 42.38, -73.178, 1
2, 3/14/2020, 42.165, -73.137, 1
2, 3/14/2020, 42.932, -72.932, 1
2, 3/14/2020, 42.441, -72.029, 1
2, 3/14/2020, 42.196, -71.865, 1
2, 3/14/2020, 42.656, -71.64, 1
2, 3/14/2020, 42.549, -71.619, 2
2, 3/14/2020, 42.503, -71.619, 1
2, 3/14/2020, 42.426, -71.537, 1
2, 3/14/2020, 42.288, -71.517, 1
2, 3/14/2020, 42.687, -71.496, 1
2, 3/14/2020, 42.579, -71.496, 1
2, 3/14/2020, 42.702, -71.455, 1
2, 3/14/2020, 42.318, -71.455, 1
2, 3/14/2020, 42.625, -71.434, 1
2, 3/14/2020, 42.641, -71.414, 1
2, 3/14/2020, 42.595, -71.414, 1
2, 3/14/2020, 42.579, -71.414, 1
2, 3/14/2020, 42.518, -71.414, 1
2, 3/14/2020, 42.702, -71.393, 1
2, 3/14/2020, 42.549, -71.393, 1
2, 3/14/2020, 42.61, -71.373, 1
2, 3/14/2020, 42.564, -71.373, 1
2, 3/14/2020, 42.549, -71.373, 1
2, 3/14/2020, 42.518, -71.373, 1
2, 3/14/2020, 42.395, -71.373, 1
2, 3/14/2020, 42.088, -71.373, 1
2, 3/14/2020, 42.564, -71.352, 3
2, 3/14/2020, 42.134, -71.352, 1
2, 3/14/2020, 42.671, -71.332, 1
2, 3/14/2020, 42.61, -71.332, 1
2, 3/14/2020, 42.595, -71.332, 1
2, 3/14/2020, 42.579, -71.332, 1
2, 3/14/2020, 42.564, -71.332, 3
2, 3/14/2020, 42.518, -71.332, 1
2, 3/14/2020, 42.119, -71.332, 1
2, 3/14/2020, 42.088, -71.332, 1
2, 3/14/2020, 42.61, -71.311, 1
2, 3/14/2020, 42.579, -71.311, 1
2, 3/14/2020, 42.441, -71.311, 1
2, 3/14/2020, 42.364, -71.311, 1
2, 3/14/2020, 42.119, -71.311, 1
2, 3/14/2020, 42.088, -71.311, 2
2, 3/14/2020, 42.564, -71.291, 2
2, 3/14/2020, 42.549, -71.291, 1
2, 3/14/2020, 42.518, -71.291, 1
2, 3/14/2020, 42.119, -71.291, 4
2, 3/14/2020, 42.104, -71.291, 1
2, 3/14/2020, 42.088, -71.291, 1
2, 3/14/2020, 42.027, -71.291, 1
2, 3/14/2020, 42.61, -71.27, 1
2, 3/14/2020, 42.441, -71.27, 1
2, 3/14/2020, 42.119, -71.27, 2
2, 3/14/2020, 42.917, -71.25, 1
2, 3/14/2020, 42.702, -71.25, 2
2, 3/14/2020, 42.564, -71.25, 2
2, 3/14/2020, 42.549, -71.25, 1
2, 3/14/2020, 42.533, -71.25, 1
2, 3/14/2020, 42.457, -71.25, 1
2, 3/14/2020, 42.165, -71.25, 1
2, 3/14/2020, 42.134, -71.25, 1
2, 3/14/2020, 42.119, -71.25, 2
2, 3/14/2020, 42.549, -71.229, 1
2, 3/14/2020, 42.349, -71.229, 1
2, 3/14/2020, 42.134, -71.229, 1
2, 3/14/2020, 42.595, -71.209, 1
2, 3/14/2020, 42.533, -71.209, 1
2, 3/14/2020, 42.503, -71.188, 1
2, 3/14/2020, 42.257, -71.188, 1
2, 3/14/2020, 42.073, -71.188, 1
2, 3/14/2020, 42.779, -71.168, 1
2, 3/14/2020, 42.564, -71.168, 1
2, 3/14/2020, 42.426, -71.168, 2
2, 3/14/2020, 42.303, -71.168, 1
2, 3/14/2020, 42.104, -71.168, 1
2, 3/14/2020, 42.395, -71.147, 1
2, 3/14/2020, 42.364, -71.147, 1
2, 3/14/2020, 42.334, -71.147, 1
2, 3/14/2020, 42.318, -71.147, 1
2, 3/14/2020, 42.395, -71.127, 1
2, 3/14/2020, 42.38, -71.127, 1
2, 3/14/2020, 42.364, -71.127, 3
2, 3/14/2020, 42.349, -71.127, 1
2, 3/14/2020, 42.687, -71.106, 1
2, 3/14/2020, 42.579, -71.106, 1
2, 3/14/2020, 42.364, -71.106, 1
2, 3/14/2020, 42.196, -71.106, 1
2, 3/14/2020, 42.426, -71.086, 1
2, 3/14/2020, 42.395, -71.086, 1
2, 3/14/2020, 42.38, -71.086, 4
2, 3/14/2020, 42.288, -71.086, 1
2, 3/14/2020, 42.364, -71.065, 1
2, 3/14/2020, 42.318, -71.065, 1
2, 3/14/2020, 42.457, -71.024, 1
2, 3/14/2020, 42.349, -71.024, 1
2, 3/14/2020, 42.687, -70.983, 1
2, 3/14/2020, 42.518, -70.901, 1
2, 3/15/2020, 42.242, -73.527, 1
2, 3/15/2020, 42.426, -73.343, 1
2, 3/15/2020, 42.61, -73.281, 1
2, 3/15/2020, 42.41, -73.24, 1
2, 3/15/2020, 42.441, -73.219, 1
2, 3/15/2020, 42.395, -73.178, 1
2, 3/15/2020, 42.38, -73.178, 1
2, 3/15/2020, 42.165, -73.137, 1
2, 3/15/2020, 42.932, -72.932, 1
2, 3/15/2020, 42.441, -72.029, 1
2, 3/15/2020, 42.196, -71.865, 1
2, 3/15/2020, 42.656, -71.64, 1
2, 3/15/2020, 42.595, -71.64, 1
2, 3/15/2020, 42.549, -71.619, 2
2, 3/15/2020, 42.503, -71.619, 1
2, 3/15/2020, 42.426, -71.537, 1
2, 3/15/2020, 42.503, -71.517, 1
2, 3/15/2020, 42.288, -71.517, 1
2, 3/15/2020, 42.687, -71.496, 1
2, 3/15/2020, 42.579, -71.496, 1
2, 3/15/2020, 42.702, -71.455, 1
2, 3/15/2020, 42.318, -71.455, 1
2, 3/15/2020, 42.625, -71.434, 1
2, 3/15/2020, 42.641, -71.414, 1
2, 3/15/2020, 42.595, -71.414, 1
2, 3/15/2020, 42.579, -71.414, 1
2, 3/15/2020, 42.564, -71.414, 1
2, 3/15/2020, 42.518, -71.414, 1
2, 3/15/2020, 42.702, -71.393, 1
2, 3/15/2020, 42.549, -71.393, 1
2, 3/15/2020, 42.61, -71.373, 1
2, 3/15/2020, 42.564, -71.373, 1
2, 3/15/2020, 42.549, -71.373, 1
2, 3/15/2020, 42.518, -71.373, 1
2, 3/15/2020, 42.395, -71.373, 1
2, 3/15/2020, 42.303, -71.373, 1
2, 3/15/2020, 42.088, -71.373, 1
2, 3/15/2020, 42.564, -71.352, 3
2, 3/15/2020, 42.134, -71.352, 1
2, 3/15/2020, 42.671, -71.332, 1
2, 3/15/2020, 42.61, -71.332, 1
2, 3/15/2020, 42.595, -71.332, 1
2, 3/15/2020, 42.579, -71.332, 1
2, 3/15/2020, 42.564, -71.332, 3
2, 3/15/2020, 42.518, -71.332, 2
2, 3/15/2020, 42.119, -71.332, 1
2, 3/15/2020, 42.104, -71.332, 1
2, 3/15/2020, 42.088, -71.332, 1
2, 3/15/2020, 42.61, -71.311, 1
2, 3/15/2020, 42.579, -71.311, 1
2, 3/15/2020, 42.441, -71.311, 1
2, 3/15/2020, 42.364, -71.311, 1
2, 3/15/2020, 42.119, -71.311, 1
2, 3/15/2020, 42.088, -71.311, 2
2, 3/15/2020, 42.564, -71.291, 2
2, 3/15/2020, 42.549, -71.291, 1
2, 3/15/2020, 42.518, -71.291, 1
2, 3/15/2020, 42.364, -71.291, 1
2, 3/15/2020, 42.119, -71.291, 4
2, 3/15/2020, 42.104, -71.291, 1
2, 3/15/2020, 42.088, -71.291, 1
2, 3/15/2020, 42.027, -71.291, 1
2, 3/15/2020, 42.61, -71.27, 1
2, 3/15/2020, 42.503, -71.27, 1
2, 3/15/2020, 42.441, -71.27, 1
2, 3/15/2020, 42.119, -71.27, 2
2, 3/15/2020, 42.073, -71.27, 1
2, 3/15/2020, 42.917, -71.25, 1
2, 3/15/2020, 42.702, -71.25, 2
2, 3/15/2020, 42.564, -71.25, 2
2, 3/15/2020, 42.549, -71.25, 1
2, 3/15/2020, 42.533, -71.25, 1
2, 3/15/2020, 42.457, -71.25, 1
2, 3/15/2020, 42.165, -71.25, 1
2, 3/15/2020, 42.134, -71.25, 1
2, 3/15/2020, 42.119, -71.25, 3
2, 3/15/2020, 42.549, -71.229, 1
2, 3/15/2020, 42.349, -71.229, 1
2, 3/15/2020, 42.134, -71.229, 1
2, 3/15/2020, 42.595, -71.209, 1
2, 3/15/2020, 42.533, -71.209, 1
2, 3/15/2020, 42.503, -71.188, 1
2, 3/15/2020, 42.257, -71.188, 1
2, 3/15/2020, 42.073, -71.188, 1
2, 3/15/2020, 42.779, -71.168, 1
2, 3/15/2020, 42.564, -71.168, 1
2, 3/15/2020, 42.426, -71.168, 2
2, 3/15/2020, 42.303, -71.168, 1
2, 3/15/2020, 42.104, -71.168, 1
2, 3/15/2020, 42.395, -71.147, 1
2, 3/15/2020, 42.364, -71.147, 1
2, 3/15/2020, 42.334, -71.147, 1
2, 3/15/2020, 42.318, -71.147, 1
2, 3/15/2020, 42.395, -71.127, 1
2, 3/15/2020, 42.38, -71.127, 1
2, 3/15/2020, 42.364, -71.127, 3
2, 3/15/2020, 42.349, -71.127, 1
2, 3/15/2020, 42.687, -71.106, 1
2, 3/15/2020, 42.579, -71.106, 1
2, 3/15/2020, 42.364, -71.106, 1
2, 3/15/2020, 42.196, -71.106, 1
2, 3/15/2020, 42.426, -71.086, 1
2, 3/15/2020, 42.395, -71.086, 1
2, 3/15/2020, 42.38, -71.086, 4
2, 3/15/2020, 42.288, -71.086, 1
2, 3/15/2020, 41.674, -71.086, 1
2, 3/15/2020, 42.364, -71.065, 1
2, 3/15/2020, 42.318, -71.065, 1
2, 3/15/2020, 42.457, -71.024, 1
2, 3/15/2020, 42.349, -71.024, 1
2, 3/15/2020, 42.687, -70.983, 1
2, 3/15/2020, 42.671, -70.983, 1
2, 3/15/2020, 42.518, -70.901, 1
2, 3/15/2020, 42.671, -70.819, 1
2, 3/15/2020, 42.625, -70.798, 1
2, 3/15/2020, 41.72, -70.142, 1
4, 3/17/2020, 42.119, -71.311, 1
4, 3/18/2020, 42.119, -71.311, 1
4, 3/20/2020, 42.518, -71.414, 1
4, 3/20/2020, 42.119, -71.311, 1
4, 3/21/2020, 42.518, -71.414, 1
4, 3/21/2020, 42.119, -71.311, 1
4, 3/22/2020, 42.318, -71.804, 1
4, 3/22/2020, 42.518, -71.414, 1
4, 3/22/2020, 42.119, -71.311, 1
4, 3/23/2020, 42.318, -71.804, 1
4, 3/23/2020, 42.518, -71.414, 1
4, 3/23/2020, 42.119, -71.311, 1
